pr_ab	partition	aet	cwd	tmin	ppt_djf	ppt_jja	pH	awc	depth	percent_clay	landform
0	1	187.37330627441406	671.7166748046875	-0.3199999928474426	75.16300201416016	8.987700462341309	6.702917575836182	0.11999999731779099	74.74113464355469	21.92997169494629	7
0	2	411.6300048828125	755.16998291015625	9.383299827575684	171.9727020263672	10.314800262451172	6.099999904632568	0.08490897715091705	42.94538879394531	27.367597579956055	7
0	7	366.2432861328125	813.82672119140625	9.863300323486328	129.49899291992187	7.570300102233887	6.400000095367432	0.09000000357627869	46	32.70000076293945	9
0	2	350.8900146484375	817.4866943359375	9.423299789428711	129.3856964111328	7.698599815368652	5.999858856201172	0.0980028286576271	35.5963249206543	24.617145538330078	7
0	1	370.3633117675781	873.11669921875	9.136699676513672	135.1407928466797	5.023600101470947	7.094918251037598	0.13012704253196716	20.203271865844727	33.80562210083008	10
0	7	400.3266906738281	789.373291015625	10.023300170898437	183.6186981201172	10.025099754333496	6.099999904632568	0.05999999865889549	28	18.5	9
0	2	422.69329833984375	734.61328125	9.680000305175781	210.37660217285156	11.216099739074707	2.591968059539795	0.0382421538233757	11.89755916595459	7.860887050628662	13
0	3	361.5	360.19000244140625	-1.3832999467849731	154.72509765625	20.625900268554688	6.400000095367432	0.03999999910593033	201	2.200000047683716	11
0	5	412.2467041015625	207.52999877929687	-2.0933001041412354	454.85589599609375	27.077699661254883	5.827475070953369	0.04764853045344353	173.97518920898437	1.592328429222107	7
1	5	499.81671142578125	172.9633026123047	-1.7367000579833984	388.6122131347656	25.609600067138672	6.143270492553711	0.05810900405049324	77.730804443359375	3.07041072845459	7
0	8	382.0433044433594	289.489990234375	-1.9199999570846558	291.6156921386719	21.13010025024414	2.7531814575195313	0.009177271276712418	143.64205932617187	0.9177271723747253	15
0	10	566.9766845703125	144.81329345703125	-1.6232999563217163	162.99009704589844	16.488100051879883	0	0	201	0	7
0	4	304.7132873535156	88.80329895019531	-5.070000171661377	499.81719970703125	28.31170082092285	6.699999809265137	0.029999999329447746	201	2.5	4
1	4	437.6099853515625	220.7032928466797	-1.7232999801635742	463.45458984375	27.285400390625	6.199999809265137	0.07000000029802322	95	4.199999809265137	6
1	5	375.4833068847656	251.5	-2.2100000381469727	417.27301025390625	26.193300247192383	5.699999809265137	0.03999999910593033	201	0.699999988079071	7
1	1	492.8299865722656	164.8300018310547	-2.043299913406372	322.2550964355469	21.343700408935547	5.975593566894531	0.037052929401397705	78.65025329589844	3.644099235534668	11
0	7	375.4566955566406	350.1499938964844	-1.5633000135421753	150.37539672851563	15.368300437927246	6.683655261993408	0.03999999910593033	118.18109130859375	1.3038655519485474	11
0	9	264.43670654296875	403.2900085449219	-1.226699948310852	177.97779846191406	18.249099731445313	6.699999809265137	0.05999999865889549	201	4.599999904632568	1
1	1	330.0299987792969	322.6133117675781	-2.5833001136779785	320.577392578125	24.75779914855957	4.645757675170898	0.021441956982016563	113.08797454833984	3.0018739700317383	6
1	3	612.08001708984375	113.06670379638672	-1.2999999523162842	275.5273132324219	21.350900650024414	6.73021125793457	0.03226692974567413	86.0046157836914	3.477795124053955	10
1	3	423.5799865722656	173.60330200195312	-2.5467000007629395	479.93170166015625	27.53809928894043	6.272226333618164	0.06422186642885208	110.31205749511719	3.9544291496276855	6
