name	x_m	y_m	x_dec	y_dec	city	address	source	type	geocoding.precision.m	geocoding.source
University of California, The Cheadle Center for Biodiversity and Ecological Restoration	13361.347414129847	-399603.23163904576	-119.8546	34.4196	Santa Barbara	NA	indexherbariorum	Herbarium	1000	JA
University of California, UCI Arboretum Mail	199174.89489476883	-481165.6014577928	-117.85302	33.66408	Irvine	NA	indexherbariorum	Herbarium	10	automatic
University of Idaho	246868.05949284913	-444740.1613325896	-117.3281	33.9815	Moscow	NA	grbioorg	University	10	automatic
University of Idaho	246868.05949284913	-444740.1613325896	-117.3281	33.9815	Moscow	NA	grbioorg	University	10	automatic
University of Idaho	246868.05949284913	-444740.1613325896	-117.3281	33.9815	NA	NA	grbioorg	University	10	automatic
University of Iowa	245785.56286599961	-445036.9221633603	-117.3399	33.9791	Iowa City	Market Street, Chemistry Building.	grbioorg	University	10	automatic
University of Iowa	245785.56286599961	-445036.9221633603	-117.3399	33.9791	NA	NA	grbioorg	University	10	automatic
University of Louisiana at Monroe	268319.43879784516	-579659.4092959915	-117.1401	32.7591	Monroe	700 University Avenue.	grbioorg	University	10	automatic
University of Massachusetts	246445.40626903888	-444175.050943865	-117.3325	33.9867	Amherst	NA	grbioorg	University	10	automatic
University of Massachusetts	246445.40626903888	-444175.050943865	-117.3325	33.9867	NA	NA	grbioorg	University	10	automatic
University of Redlands	245670.9185758458	-450510.4844261217	-117.3428	33.9298	Redlands	1200 East Colton Avenue.	grbioorg	University	10	automatic
University of Redlands, Biology Department	261770.30756864508	-435151.9655769663	-117.1638	34.064	Redlands	1200 East Colton Avenue	indexherbariorum	Herbarium	10	automatic
University of Redlands, Biology Department	261825.16387548269	-435256.86450810265	-117.16324	34.06304	Redlands	1200 East Colton Avenue	indexherbariorum	Herbarium	10	automatic
University of San Francisco	-215537.52185632373	-23862.570626905188	-122.45068	37.77665	San Francisco	NA	indexherbariorum	Herbarium	10	automatic
University of Southern California	249871.11485053794	-431105.21379622025	-117.2914	34.1036	Los Angeles	NA	grbioorg	University	10	automatic
University of Southern California	249871.11485053794	-431105.21379622025	-117.2914	34.1036	Los Angeles	NA	grbioorg	University	10	automatic
University of Southern California	249871.11485053794	-431105.21379622025	-117.2914	34.1036	NA	NA	grbioorg	University	10	automatic
University of Southern California, Allan Hancock Foundation	158373.2723003703	-442549.4931939235	-118.2852	34.0197	Los Angeles	NA	indexherbariorum	Herbarium	1000	VZ
University of Southern California, Biological Sciences Department	158375.34338382728	-442255.4564812612	-118.28512	34.02235	Los Angeles	NA	indexherbariorum	Herbarium	10	automatic
University of the Pacific, Biological Sciences Department	-115254.44391575301	-3310.690795844421	-121.3139	37.9794	Stockton	3601 Pacific Ave	indexherbariorum	Herbarium	1000	JA
University of Utah	246953.06820185858	-444804.34306114074	-117.3272	33.9809	Salt Lake City	301 Wakara Way	grbioorg	University	10	automatic
US Fish and Wildlife Service, Ventura Fish and Wildlife Office	71278.16136798519	-418086.1821866222	-119.226	34.2505	Ventura	NA	indexherbariorum	Herbarium	1000	JA
USDA/ARS	-151769.78082776477	60649.60613800166	-121.7435	38.5494	Stoneville	NA	grbioorg	NA	1000	HF
Werneth Park Study Centre and Natural History Museum	267715.6545617591	-582680.1670628474	-117.1475	32.732	NA	NA	indexherbariorum	Herbarium	10	automatic
Western Foundation of Vertebrate Zoology	88509.40819354808	-422633.01439975156	-119.0394	34.2081	Camarillo	NA	GBIF	Zoo	1000	RS
Western Washington University	159143.01375281197	-440682.76820590906	-118.2765	34.0364	Bellingham	516 High Street.	grbioorg	University	10	automatic
Whittier College, Biology Department	181823.1652692854	-446632.7024137946	-118.03228	33.97879	Whittier	NA	indexherbariorum	Herbarium	10	automatic
Zoological Society of San Diego	267321.79224142304	-581761.3431768068	-117.1514	32.7404	NA	Box 120551	grbioorg	Zoo	10	AZ
