name	x_m	y_m	x_dec	y_dec	city	address	source	type	geocoding.precision.m	geocoding.source
Muse Zoologique de la Ville de Strasbourg	27733.065921408594	-399436.1706984462	-119.6982	34.4208	Strasbourg	NA	GBIF	Zoo	10	automatic
Museum of Vertebrate Zoology	-198712.6637889368	-13744.523770119995	-122.26220000000001	37.8714	Berkeley	3101 Valley Life Sciences Building, University of California	GBIF	Museum	1000	RS
Museum of Vertebrate Zoology, University of California Berkeley	-197160.3134589534	-12758.40374165913	-122.2448	37.8806	Berkeley	3101 Valley Life Sciences Building University of California	grbioorg	Museum	10	automatic
National Park Service	40599.259850697075	-16939.094343008474	-119.5379	37.8631	Yosemite National Park	NA	grbioorg	NA	1000	TA
Natural History Museum of Los Angeles County	158055.26441519646	-442843.6909101559	-118.2887	34.0171	Los Angeles	900 Exposition Boulevard	grbioorg	Museum	10	automatic
Natural History Museum of Los Angeles County, Research and Collections, Botanical Studies	158046.229638576	-442854.9482563804	-118.2888	34.017	Los Angeles	NA	indexherbariorum	Herbarium	1000	VZ
Oakland Museum of California	-199019.76554989076	-21821.328368776012	-122.2635	37.7987	Oakland	NA	grbioorg	Museum	10	automatic
Oakland Museum of Californiatural Sciences Department	-199029.59477165525	-21827.76556257857	-122.26361	37.79864	Oakland	NA	indexherbariorum	Herbarium	10	automatic
Occidental College	-121322.74657017997	60723.905182760675	-121.3938	38.5546	Los Angeles	1600 Campus Road.	grbioorg	NA	10	automatic
Occidental College, Biology Department	164793.84592834656	-430508.20232874854	-118.21324	34.12716	Los Angeles	1600 Campus Road	indexherbariorum	Herbarium	10	automatic
Ohio State University Insect Collection	259645.46223705006	-567783.9287524438	-117.2288	32.8686	Ohio	NA	GBIF	University	10	automatic
Olivet College	-121496.49588569501	60748.69571927097	-121.3958	38.5548	Olivet	NA	grbioorg	NA	10	automatic
Orange County Department of Agriculture	198983.57635539587	-463232.1964100306	-117.8507	33.8258	Anaheim	NA	indexherbariorum	Herbarium	1000	JA
Pacific Grove Museum of Natural History	-171218.9033257332	-153277.19829961238	-121.91718	36.62189	Pacific Grove	NA	indexherbariorum	Herbarium	10	automatic
Pacific Marine Station	233827.67378068654	-517803.9584022369	-117.4901	33.326	Dillon Beach	NA	grbioorg	NA	10	automatic
Pacific Southwest Forest and Range Experiment Station	-194967.22270104405	280656.26740227826	-122.3009	40.5207	Berkeley	NA	indexherbariorum	Herbarium	1000	VZ
Pacific Union College, Biology Department	-212736.99176717145	64320.21937582269	-122.4447	38.5703	Angwin	1 Angwin Avenue	indexherbariorum	Herbarium	1000	JA
Pacific Union College, Museum of Natural History	-212285.73340153866	64264.11500327848	-122.4395	38.5699	NA	NA	grbioorg	Museum	10	StS
Palomar College	263309.9041223315	-536553.5485064476	-117.1798	33.1494	San Marcos	1140 West Mission Road.	grbioorg	NA	10	automatic
Palomar College Arboretum	263311.9027108463	-536557.9232908846	-117.17978	33.14936	San Marcos	NA	BCGI	Botanic_garden	10	automatic
Palomar College, Life Sciences Department	262696.1732600828	-536649.388023498	-117.1864	33.1487	San Marcos	1140 West Mission Road	indexherbariorum	Herbarium	10	automatic
Pasadena City College, Life Sciences Department	173512.01634040233	-428470.9549864237	-118.1183	34.144	Pasadena	NA	indexherbariorum	Herbarium	1000	CD
Petrified Forest	-229685.56668713776	63162.34515669616	-122.639	38.5558	NA	NA	grbioorg	NA	10	automatic
Phipps Conservatory and Botanical Gardens	173833.5156542497	-429796.09943160415	-118.1151	34.132	Pittsburgh	NA	BCGI	Botanic_garden	10	automatic
Pierce College, Life Sciences Department	131229.34759719684	-424686.56497892365	-118.57615	34.18475	Woodland Hills	NA	indexherbariorum	Herbarium	10	automatic
Pinnacles National Monument	-105792.7790974189	-168939.91097623203	-121.1825	36.4906	NA	NA	grbioorg	NA	10	MA
Point Reyes National Seashore	-245234.08564029096	6691.502856656443	-122.7984	38.044	Point Reyes Station	NA	grbioorg	NA	10	automatic
Quarryhill Botanical Garden	-218990.9844163249	42833.29564101901	-122.51	38.3756	Glen Ellen	NA	BCGI	Botanic_garden	10	automatic
Quarryhill Botanical Garden	-219161.20605245544	42799.99640652677	-122.51194	38.37526	Glen Ellen	NA	BCGI	Botanic_garden	10	automatic
R M Alden Research Lab	148329.61026514883	-446219.9815180544	-118.3946	33.9882	NA	NA	grbioorg	NA	1000	TA
R M Bohart Museum of Entomology	-152599.30779332278	59108.409083926585	-121.7527	38.5354	Davis	1124 Academic Surge Building	grbioorg	Museum	10	StS
Rancho Santa Ana Botanic Garden	210802.65188635723	-431401.94251691084	-117.7148	34.1102	Claremont	NA	indexherbariorum	Herbarium	10	automatic
Rancho Santa Ana Botanic Garden	210802.65188635723	-431401.94251691084	-117.7148	34.1102	Claremont	NA	grbioorg	NA	10	automatic
Rancho Santa Ana Botanic Garden - Seed Bank	210800.7270962104	-431398.6598796756	-117.71482	34.11023	Claremont	NA	BCGI	Botanic_garden	10	automatic
Rutgers University	157044.92147661734	-465890.8051721887	-118.3041	33.8095	Newark	NA	grbioorg	University	10	automatic
Rutgers University	157044.92147661734	-465890.8051721887	-118.3041	33.8095	Camden	NA	grbioorg	University	10	automatic
Rutgers University	157044.92147661734	-465890.8051721887	-118.3041	33.8095	NA	NA	grbioorg	University	10	automatic
Sacramento State University	-123714.16690635493	61482.02491691802	-121.4214	38.5611	NA	NA	grbioorg	University	10	automatic
San Diego Botanic Garden	254159.28245956168	-547451.2021964327	-117.2811	33.0535	Encinitas	NA	BCGI	Botanic_garden	10	automatic
San Diego Botanic Garden	254341.61189792943	-547612.2278695996	-117.2792	33.052	Encinitas	NA	BCGI	Botanic_garden	10	automatic
San Diego Botanic Garden	254017.8327491544	-547410.9232230526	-117.2826	33.0539	Encinitas	NA	BCGI	Botanic_garden	10	automatic
San Diego Botanic Garden	254269.51853198174	-547544.4688533796	-117.27995	33.05263	Encinitas	NA	BCGI	Botanic_garden	10	automatic
San Diego Mesa College	266046.94224091223	-574619.7735249819	-117.1627	32.8052	San Diego	7250 Mesa College Drive.	grbioorg	NA	10	automatic
San Diego Mesa College, Botany Department	265495.5313489133	-574691.6653007478	-117.1686	32.8047	San Diego	7250 Mesa College Drive	indexherbariorum	Herbarium	1000	CD
San Diego Natural History Museum	267715.3214193029	-582669.0977498698	-117.1475	32.7321	San Diego	1788 El Prado, Balboa Park	indexherbariorum	Herbarium	10	automatic
San Diego Natural History Museum	267734.086329185	-582668.5329806311	-117.1473	32.7321	San Diego	NA	GBIF	Museum	10	automatic
San Diego Natural History Museum	267719.0410866598	-582667.8778678146	-117.14746	32.73211	San Diego	1788 El Prado, Balboa Park	indexherbariorum	Herbarium	10	automatic
San Diego State University	265278.2761041303	-574642.7507129568	-117.1709	32.8052	San Diego	Life Science (South), Room 267	grbioorg	University	10	automatic
San Diego State University, Department of Biology	274729.15438664675	-577458.1759945126	-117.0711	32.7772	San Diego	Life Science (South), Room 267	indexherbariorum	Herbarium	1000	RS
San Diego Zoo Botanical Gardens	173833.5156542497	-429796.09943160415	-118.1151	34.132	San Diego	NA	BCGI	Botanic_garden	10	automatic
San Fernando Valley State University	135557.6395537616	-418778.38564462634	-118.5282	34.2374	NA	NA	grbioorg	University	1000	NW
San Francisco Botanical Garden	-217227.94482489856	-24847.335511086043	-122.4696	37.7674	San Francisco	NA	BCGI	Botanic_garden	10	automatic
San Francisco Botanical Garden	-217227.94482489856	-24847.335511086043	-122.4696	37.7674	San Francisco	NA	BCGI	Botanic_garden	10	automatic
San Francisco Botanical Garden	-216974.15970397557	-24901.76168709714	-122.4667	37.76697	San Francisco	NA	BCGI	Botanic_garden	10	automatic
San Francisco State University, Department of Biology	-217935.22002744113	-29688.518472748343	-122.4762	37.7237	San Francisco	NA	indexherbariorum	Herbarium	1000	CD
San Joaquin County	-110928.82273674931	-6560.286519606598	-121.2641	37.9507	Stockton	1868 East Hazelton Avenue.	grbioorg	NA	1000	AH
San Joaquin County Agriculture Commissioner	-109056.86784126249	-11721.387388904579	-121.242	37.9045	NA	NA	grbioorg	NA	10	MA
San Joaquin County, Agriculture Department	-110928.82273674931	-6560.286519606598	-121.2641	37.9507	Stockton	1868 East Hazelton Avenue	indexherbariorum	Herbarium	10	automatic
San Jose State University	-166636.79260651945	-75423.31170200882	-121.8832	37.323	San Jose	Duncan Hall, Room 354 One Washington Square	grbioorg	University	10	automatic
San Jose State University, J Gordon Edwards Museum of Entomology	-166424.09030224045	-74071.09305647947	-121.8811	37.3352	NA	NA	grbioorg	Museum	10	MA
San Jose State University, Museum of Birds and Mammals	-166424.09030224045	-74071.09305647947	-121.8811	37.3352	NA	NA	grbioorg	Museum	10	StS
Santa Barbara Botanic Garden	26636.623233939572	-395477.8197643021	-119.71	34.4565	Santa Barbara	NA	indexherbariorum	Herbarium	10	automatic
Santa Barbara Botanic Garden	26636.623233939572	-395477.8197643021	-119.71	34.4565	Santa Barbara	NA	grbioorg	NA	10	automatic
Santa Barbara City College	27821.047708345497	-401089.36206196016	-119.6973	34.4059	Santa Barbara	NA	grbioorg	NA	1000	AH
Santa Barbara City College, Department of Biological Sciences	27821.047708345497	-401089.36206196016	-119.6973	34.4059	Santa Barbara	NA	indexherbariorum	Herbarium	1000	VZ
Santa Barbara Museum of Natural History	26232.18219718507	-397209.14931684826	-119.71446	34.44091	Santa Barbara	NA	indexherbariorum	Herbarium	10	automatic
Santa Barbara Natural History Museum	26228.51080297527	-397210.2701158966	-119.7145	34.4409	NA	NA	grbioorg	Museum	1000	NW
Santa Clara University	202684.325703886	-478332.6153709823	-117.8145	33.6889	Santa Clara	NA	grbioorg	University	10	automatic
Santa Clara University, Biology Department	-171512.93456199943	-72356.37993771303	-121.939	37.3497	Santa Clara	NA	indexherbariorum	Herbarium	1000	CD
Scientific Research Centre	210427.89281864784	-484406.0329749356	-117.7326	33.6325	Ljubljana	NA	grbioorg	Research_centre	10	automatic
Scripps Institution of Oceanography	257448.0592351398	-568302.2287142123	-117.2524	32.8645	La Jolla	8602 La Jolla Shores	grbioorg	NA	10	automatic
Scripps Institution of Oceanography	257287.2112816343	-568251.4847123125	-117.2541	32.865	La Jolla	8622 Kennel Way	GBIF	NA	10	automatic
Scripps Institution of Oceanography, University of California, Marine Biological Research Division	257545.69640433494	-567789.6670853067	-117.2512	32.8691	San Diego	NA	indexherbariorum	Herbarium	1000	VZ
Sequoia and Kings Canyon National Parks	105068.00927653306	-168937.8058531601	-118.8256	36.4907	Three Rivers	Parks Headquarters, Ash Mountain.	grbioorg	NA	10	automatic
